Date,Price,Open,High,Low,Vol.,Change %
2020-02-12,84.47,84.47,84.47,84.47,-,1.33%
2020-02-11,83.36,83.36,83.36,83.36,-,2.60%
2020-02-10,81.25,81.25,81.25,81.25,-,-0.49%
2020-02-07,81.65,81.65,81.65,81.65,-,0.85%
2020-02-06,80.96,80.96,80.96,80.96,-,1.36%
2020-02-05,79.87,79.87,79.87,79.87,-,-2.16%
2020-02-04,81.63,81.63,81.63,81.63,-,4.21%
2020-02-03,78.33,78.33,78.33,78.33,0.02K,-15.26%
2020-01-31,92.44,92.44,92.44,92.44,-,-0.50%
2020-01-30,92.9,92.9,92.9,92.9,-,-0.47%
2020-01-29,93.34,93.34,93.34,93.34,-,-0.28%
2020-01-28,93.6,93.6,93.6,93.6,-,-0.44%
2020-01-27,94.01,94.01,94.01,94.01,-,-0.36%
2020-01-24,94.35,94.35,94.35,94.35,-,-0.05%
2020-01-23,94.4,94.4,94.4,94.4,-,-0.38%
2020-01-22,94.76,94.76,94.76,94.76,-,-0.04%
2020-01-21,94.8,94.8,94.8,94.8,-,-0.01%
2020-01-17,94.81,94.81,94.81,94.81,-,0.27%
2020-01-16,94.55,94.55,94.55,94.55,-,-0.04%
2020-01-15,94.59,94.59,94.59,94.59,-,-0.25%
2020-01-14,94.83,94.83,94.83,94.83,-,0.85%
2020-01-13,94.03,94.03,94.03,94.03,-,0.50%
2020-01-10,93.56,93.56,93.56,93.56,-,-0.01%
2020-01-09,93.57,93.57,93.57,93.57,-,-1.10%
2020-01-08,94.61,94.61,94.61,94.61,-,0.94%
2020-01-07,93.73,93.73,93.73,93.73,-,-0.13%
2020-01-06,93.85,93.85,93.85,93.85,-,0.47%
2020-01-03,93.41,93.41,93.41,93.41,-,0.90%
2020-01-02,92.58,92.58,92.58,92.58,-,1.15%
2019-12-31,91.53,91.53,91.53,91.53,-,0.01%
2019-12-30,91.52,91.52,91.52,91.52,-,-0.03%
2019-12-27,91.55,91.55,91.55,91.55,-,-0.07%
2019-12-26,91.61,91.61,91.61,91.61,-,-0.10%
2019-12-24,91.7,91.7,91.7,91.7,-,-0.02%
2019-12-23,91.72,91.72,91.72,91.72,-,-0.02%
2019-12-20,91.74,91.74,91.74,91.74,-,-0.28%
2019-12-19,92,92,92,92,-,0.01%
2019-12-18,91.99,91.99,91.99,91.99,-,-0.11%
2019-12-17,92.09,92.09,92.09,92.09,-,-0.01%
2019-12-16,92.1,92.1,92.1,92.1,-,-0.18%
2019-12-13,92.27,92.27,92.27,92.27,-,0.25%
2019-12-12,92.04,92.04,92.04,92.04,-,-0.01%
2019-12-11,92.05,92.05,92.05,92.05,-,0.76%
2019-12-10,91.36,91.36,91.36,91.36,0.02K,-0.74%
2019-12-09,92.04,92.04,92.04,92.04,-,3.93%
2019-12-06,88.56,88.56,88.56,88.56,-,0.25%
2019-12-05,88.34,88.34,88.34,88.34,-,0.08%
2019-12-04,88.27,88.27,88.27,88.27,-,0.71%
2019-12-03,87.65,87.65,87.65,87.65,-,-0.52%
2019-12-02,88.11,88.11,88.11,88.11,-,4.05%
2019-11-29,84.68,84.68,84.68,84.68,-,0.31%
2019-11-27,84.42,84.42,84.42,84.42,-,0.08%
2019-11-26,84.35,84.35,84.35,84.35,-,0.07%
2019-11-25,84.29,84.29,84.29,84.29,-,0.60%
2019-11-22,83.79,83.79,83.79,83.79,-,0.29%
2019-11-21,83.55,83.55,83.55,83.55,-,0.24%
2019-11-20,83.35,83.35,83.35,83.35,-,0.19%
2019-11-19,83.19,83.19,83.19,83.19,-,0.31%
2019-11-18,82.93,82.93,82.93,82.93,-,0.16%
2019-11-15,82.8,82.8,82.8,82.8,-,0.34%
2019-11-14,82.52,82.52,82.52,82.52,-,1.55%
2019-11-13,81.26,81.26,81.26,81.26,-,-0.12%
2019-11-12,81.36,81.36,81.36,81.36,-,1.32%
2019-11-11,80.3,80.3,80.3,80.3,-,-0.07%
2019-11-08,80.36,80.36,80.36,80.36,-,-2.65%
2019-11-07,82.55,82.55,82.55,82.55,-,-0.52%
2019-11-06,82.98,82.98,82.98,82.98,-,0.16%
2019-11-05,82.85,82.85,82.85,82.85,-,0.00%
2019-11-04,82.85,82.85,82.85,82.85,-,-0.84%
2019-11-01,83.55,83.55,83.55,83.55,-,-6.70%
2019-10-31,89.55,89.55,89.55,89.55,-,-0.28%
2019-10-30,89.8,89.8,89.8,89.8,-,-0.26%
2019-10-29,90.03,90.03,90.03,90.03,-,-0.22%
2019-10-28,90.23,90.23,90.23,90.23,-,0.01%
2019-10-25,90.22,90.22,90.22,90.22,-,0.12%
2019-10-24,90.11,90.11,90.11,90.11,-,-0.38%
2019-10-23,90.45,90.45,90.45,90.45,0.02K,-0.09%
2019-10-22,90.53,90.53,90.53,90.53,-,-0.06%
2019-10-21,90.58,90.58,90.58,90.58,-,-0.20%
2019-10-18,90.76,90.76,90.76,90.76,-,0.83%
2019-10-17,90.01,90.01,90.01,90.01,-,-1.52%
2019-10-16,91.4,91.4,91.4,91.4,-,-1.32%
2019-10-15,92.62,92.62,92.62,92.62,-,0.42%
2019-10-14,92.23,92.23,92.23,92.23,-,-0.68%
2019-10-11,92.86,92.86,92.86,92.86,-,-0.16%
2019-10-10,93.01,93.01,93.01,93.01,-,1.55%
2019-10-09,91.59,91.59,91.59,91.59,0.02K,-2.07%
2019-10-08,93.53,93.53,93.53,93.53,-,1.06%
2019-10-07,92.55,92.55,92.55,92.55,-,0.40%
2019-10-04,92.18,92.18,92.18,92.18,-,-0.09%
2019-10-03,92.26,92.26,92.26,92.26,-,0.00%
2019-10-02,92.26,92.26,92.26,92.26,-,0.11%
2019-10-01,92.16,92.16,92.16,92.16,-,-0.81%
2019-09-30,92.91,92.91,92.91,92.91,-,0.02%
2019-09-27,92.89,92.89,92.89,92.89,-,-0.06%
2019-09-26,92.95,92.95,92.95,92.95,-,-0.02%
2019-09-25,92.97,92.97,92.97,92.97,-,-0.26%
2019-09-24,93.21,93.21,93.21,93.21,-,-0.30%
2019-09-23,93.49,93.49,93.49,93.49,-,0.12%
2019-09-20,93.38,93.38,93.38,93.38,-,-0.09%
2019-09-19,93.46,93.46,93.46,93.46,-,-0.54%
2019-09-18,93.97,93.97,93.97,93.97,-,-0.06%
2019-09-17,94.03,94.03,94.03,94.03,-,-0.36%
2019-09-16,94.37,94.37,94.37,94.37,-,-0.42%
2019-09-13,94.77,94.77,94.77,94.77,-,0.67%
2019-09-12,94.14,94.14,94.14,94.14,-,1.95%
2019-09-11,92.34,92.34,92.34,92.34,-,1.06%
