Date,Price,Open,High,Low,Vol.,Change %
247,2011-10-21,158.0,158.0,158.0,158.0,-,-0.38%
248,2011-10-24,157.5,157.5,157.5,157.5,-,-0.32%
249,2011-10-25,156.1,156.1,156.1,156.1,-,-0.89%
250,2011-10-26,154.8,154.8,154.8,154.8,-,-0.83%
251,2011-10-27,153.2,153.2,153.2,153.2,-,-1.03%
252,2011-10-28,152.0,152.0,152.0,152.0,-,-0.78%
253,2011-10-31,150.4,150.4,150.4,150.4,-,-1.05%
254,2011-11-01,125.6,125.6,125.6,125.6,-,-16.49%
255,2011-11-02,127.9,127.9,127.9,127.9,-,1.83%
256,2011-11-03,127.7,127.7,127.7,127.7,-,-0.16%
257,2011-11-04,129.4,129.4,129.4,129.4,-,1.33%
258,2011-11-07,129.2,129.2,129.2,129.2,-,-0.15%
259,2011-11-08,130.5,130.5,130.5,130.5,-,1.01%
260,2011-11-09,133.2,133.2,133.2,133.2,-,2.07%
261,2011-11-10,131.3,131.3,131.3,131.3,-,-1.43%
262,2011-11-11,131.3,131.3,131.3,131.3,-,0.00%
263,2011-11-14,131.5,131.5,131.5,131.5,-,0.15%
264,2011-11-15,133.4,133.4,133.4,133.4,-,1.44%
265,2011-11-16,134.1,134.1,134.1,134.1,-,0.52%
266,2011-11-17,134.8,134.8,134.8,134.8,-,0.52%
267,2011-11-18,135.2,135.2,135.2,135.2,-,0.30%
268,2011-11-21,135.3,135.3,135.3,135.3,-,0.07%
269,2011-11-22,135.7,135.7,135.7,135.7,-,0.30%
270,2011-11-23,135.8,135.8,135.8,135.8,-,0.07%
271,2011-11-25,136.3,136.3,136.3,136.3,-,0.37%
272,2011-11-28,136.0,136.0,136.0,136.0,-,-0.22%
273,2011-11-29,135.8,135.8,135.8,135.8,-,-0.15%
274,2011-11-30,135.5,135.5,135.5,135.5,-,-0.22%
275,2011-12-01,135.5,135.5,135.5,135.5,-,0.00%
276,2011-12-02,135.6,135.6,135.6,135.6,-,0.07%
277,2011-12-05,135.8,135.8,135.8,135.8,-,0.15%
278,2011-12-06,136.0,136.0,136.0,136.0,-,0.15%
279,2011-12-07,136.2,136.2,136.2,136.2,-,0.15%
280,2011-12-08,136.4,136.4,136.4,136.4,-,0.15%
281,2011-12-09,136.5,136.5,136.5,136.5,-,0.07%
282,2011-12-12,136.6,136.6,136.6,136.6,-,0.07%
283,2011-12-13,136.7,136.7,136.7,136.7,-,0.07%
284,2011-12-14,136.7,136.7,136.7,136.7,-,0.00%
285,2011-12-15,136.6,136.6,136.6,136.6,-,-0.07%
286,2011-12-16,136.5,136.5,136.5,136.5,-,-0.07%
287,2011-12-19,136.3,136.3,136.3,136.3,-,-0.15%
288,2011-12-20,136.1,136.1,136.1,136.1,-,-0.15%
289,2011-12-21,136.1,136.1,136.1,136.1,-,0.00%
290,2011-12-22,136.1,136.1,136.1,136.1,-,0.00%
291,2011-12-23,136.1,136.1,136.1,136.1,-,0.00%
292,2011-12-27,136.1,136.1,136.1,136.1,-,0.00%
293,2011-12-28,136.2,136.2,136.2,136.2,-,0.07%
294,2011-12-29,136.3,136.3,136.3,136.3,-,0.07%
295,2012-01-03,135.7,135.7,135.7,135.7,-,-0.44%
296,2012-01-04,135.9,135.9,135.9,135.9,-,0.15%
297,2012-01-05,136.1,136.1,136.1,136.1,-,0.15%
298,2012-01-06,136.3,136.3,136.3,136.3,-,0.15%
299,2012-01-09,136.5,136.5,136.5,136.5,-,0.15%
300,2012-01-10,136.8,136.8,136.8,136.8,-,0.22%
301,2012-01-11,136.9,136.9,136.9,136.9,-,0.07%
302,2012-01-12,137.4,137.4,137.4,137.4,-,0.37%
303,2012-01-13,137.8,137.8,137.8,137.8,-,0.29%
304,2012-01-17,138.2,138.2,138.2,138.2,-,0.29%
305,2012-01-18,138.4,138.4,138.4,138.4,-,0.14%
306,2012-01-19,138.6,138.6,138.6,138.6,-,0.14%
307,2012-01-20,138.8,138.8,138.8,138.8,-,0.14%
308,2012-01-23,139.0,139.0,139.0,139.0,-,0.14%
309,2012-01-24,139.2,139.2,139.2,139.2,-,0.14%
310,2012-01-25,139.4,139.4,139.4,139.4,-,0.14%
311,2012-01-26,139.6,139.6,139.6,139.6,-,0.14%
312,2012-01-27,139.8,139.8,139.8,139.8,-,0.14%
