Date,Price,Open,High,Low,Vol.,Change %
510,2011-12-08,675,675,675,675,-,0.00%
511,2011-12-09,675,675,675,675,-,0.00%
512,2011-12-11,675,675,675,675,-,0.00%
513,2011-12-12,675,675,675,675,-,0.00%
514,2011-12-13,675,675,675,675,-,0.00%
515,2011-12-14,675,675,675,675,-,0.00%
516,2011-12-15,685,685,685,685,-,1.48%
517,2011-12-16,685,685,685,685,-,0.00%
518,2011-12-18,685,685,685,685,-,0.00%
519,2011-12-19,685,685,685,685,-,0.00%
520,2011-12-20,685,685,685,685,-,0.00%
521,2011-12-21,685,685,685,685,-,0.00%
522,2011-12-22,685,685,685,685,-,0.00%
523,2011-12-23,685,685,685,685,-,0.00%
524,2011-12-25,685,685,685,685,-,0.00%
525,2011-12-27,720,720,720,720,-,5.11%
526,2011-12-28,720,720,720,720,-,0.00%
527,2011-12-29,725,725,725,725,0.03K,0.69%
528,2011-12-30,725,720,730,720,0.01K,0.00%
529,2012-01-01,725,720,730,720,0.02K,0.00%
530,2012-01-03,735,735,735,735,-,1.38%
531,2012-01-04,730,730,730,730,0.08K,-0.68%
532,2012-01-05,745,745,745,745,-,2.05%
533,2012-01-06,733,743,733,743,-,-1.61%
534,2012-01-08,733,733,733,733,-,0.00%
535,2012-01-09,733,733,733,733,0.03K,0.00%
536,2012-01-10,733,733,733,733,-,0.00%
537,2012-01-11,733,743,743,743,0.04K,0.00%
538,2012-01-12,733,733,733,740,-,0.00%
539,2012-01-13,720,740,740,740,0.01K,-1.77%
540,2012-01-15,733,733,733,733,-,1.81%
541,2012-01-17,733,733,733,733,-,0.00%
542,2012-01-18,733,733,733,733,-,0.00%
543,2012-01-19,733,733,730,733,-,0.00%
544,2012-01-20,733,733,733,733,-,0.00%
545,2012-01-22,733,733,733,733,-,0.00%
546,2012-01-23,733,733,733,731,-,0.00%
547,2012-01-24,730,730,730,730,0.01K,-0.41%
548,2012-01-25,713,712,715,712,0.12K,-2.33%
549,2012-01-26,713,715,715,713,0.05K,0.00%
550,2012-01-27,710,710,710,710,-,-0.42%
551,2012-01-29,710,710,710,710,-,0.00%
552,2012-01-30,725,725,725,725,-,2.11%
553,2012-01-31,725,720,720,720,0.01K,0.00%
554,2012-02-01,720,720,720,720,-,-0.69%
555,2012-02-02,720,720,720,720,-,0.00%
556,2012-02-03,720,720,720,720,-,0.00%
557,2012-02-05,720,720,720,720,-,0.00%
558,2012-02-06,720,720,720,720,-,0.00%
559,2012-02-07,720,720,720,720,-,0.00%
560,2012-02-08,720,720,720,720,-,0.00%
561,2012-02-09,720,720,720,720,-,0.00%
562,2012-02-10,720,720,720,720,-,0.00%
563,2012-02-12,720,720,720,720,-,0.00%
564,2012-02-13,728,728,728,728,0.01K,1.11%
