Date,Price,Open,High,Low,Vol.,Change %
131,2010-07-13,"1,213.30","1,205.20","1,217.40","1,205.20",0.05K,1.23%
132,2010-07-14,"1,206.80","1,212.00","1,213.80","1,202.40",0.05K,-0.54%
133,2010-07-15,"1,208.10","1,213.20","1,213.20","1,208.40",0.03K,0.11%
134,2010-07-16,"1,188.00","1,200.90","1,201.00","1,186.70",0.05K,-1.66%
135,2010-07-19,"1,181.70","1,182.20","1,182.20","1,180.00",0.00K,-0.53%
136,2010-07-20,"1,191.50","1,183.20","1,191.60","1,181.50",0.01K,0.83%
137,2010-07-21,"1,191.60","1,190.70","1,194.50","1,184.10",0.02K,0.01%
138,2010-07-22,"1,195.50","1,194.40","1,196.00","1,194.40",0.08K,0.33%
139,2010-07-23,"1,187.70","1,193.70","1,198.60","1,188.00",0.03K,-0.65%
140,2010-07-26,"1,183.00","1,192.60","1,192.60","1,182.20",0.04K,-0.40%
141,2010-07-27,"1,158.00","1,174.00","1,174.20","1,162.70",0.03K,-2.11%
142,2010-07-28,"1,160.40","1,159.80","1,159.80","1,159.80",0.00K,0.21%
143,2010-07-29,"1,168.40","1,163.80","1,169.20","1,158.70",54.38K,0.69%
144,2010-07-30,"1,181.70","1,168.20","1,183.10","1,165.80",5.47K,1.14%
145,2010-08-02,"1,183.40","1,181.80","1,191.80","1,174.70",2.50K,0.14%
146,2010-08-03,"1,185.20","1,183.80","1,190.50","1,180.00",0.60K,0.15%
147,2010-08-04,"1,193.70","1,186.30","1,203.00","1,186.30",1.07K,0.72%
148,2010-08-05,"1,197.20","1,194.30","1,199.50","1,190.00",0.21K,0.29%
149,2010-08-06,"1,203.40","1,195.40","1,211.00","1,195.30",0.35K,0.52%
150,2010-08-09,"1,200.70","1,205.80","1,209.60","1,199.80",0.66K,-0.22%
151,2010-08-10,"1,196.20","1,200.50","1,206.50","1,191.00",0.71K,-0.37%
152,2010-08-11,"1,197.50","1,202.80","1,208.00","1,193.00",0.35K,0.11%
153,2010-08-12,"1,214.80","1,200.50","1,215.50","1,199.00",0.29K,1.44%
154,2010-08-13,"1,214.90","1,212.80","1,216.00","1,212.50",0.14K,0.01%
155,2010-08-16,"1,224.50","1,218.00","1,225.40","1,218.00",0.25K,0.79%
156,2010-08-17,"1,226.60","1,227.40","1,227.40","1,224.00",0.08K,0.17%
157,2010-08-18,"1,229.70","1,226.00","1,231.60","1,218.00",0.17K,0.25%
158,2010-08-19,"1,233.80","1,229.60","1,237.60","1,228.80",0.05K,0.33%
159,2010-08-20,"1,227.20","1,232.50","1,232.80","1,223.00",0.24K,-0.53%
160,2010-08-23,"1,226.90","1,228.90","1,228.90","1,222.90",0.06K,-0.02%
161,2010-08-24,"1,231.80","1,223.00","1,234.00","1,211.50",0.30K,0.40%
162,2010-08-25,"1,239.50","1,230.70","1,240.70","1,230.70",0.30K,0.63%
163,2010-08-26,"1,235.40","1,240.90","1,243.30","1,235.00",0.10K,-0.33%
164,2010-08-27,"1,236.00","1,235.70","1,241.90","1,234.80",0.03K,0.05%
165,2010-08-30,"1,237.10","1,237.10","1,237.90","1,234.00",0.13K,0.09%
166,2010-08-31,"1,248.30","1,237.10","1,249.40","1,233.00",0.12K,0.91%
167,2010-09-01,"1,246.30","1,252.30","1,254.30","1,243.60",0.04K,-0.16%
168,2010-09-02,"1,251.50","1,247.10","1,252.50","1,246.90",0.10K,0.42%
169,2010-09-03,"1,249.20","1,240.00","1,247.40","1,240.00",0.00K,-0.18%
170,2010-09-07,"1,257.30","1,256.10","1,258.00","1,248.90",0.01K,0.65%
171,2010-09-08,"1,255.60","1,260.20","1,260.20","1,254.70",0.03K,-0.14%
172,2010-09-09,"1,248.90","1,253.90","1,256.40","1,244.10",0.01K,-0.53%
173,2010-09-10,"1,244.50","1,239.00","1,249.60","1,239.00",0.02K,-0.35%
174,2010-09-13,"1,245.10","1,242.60","1,247.00","1,242.60",0.02K,0.05%
175,2010-09-14,"1,269.70","1,253.80","1,272.40","1,253.40",0.09K,1.98%
176,2010-09-15,"1,266.70","1,268.40","1,269.80","1,263.50",0.03K,-0.24%
177,2010-09-16,"1,271.90","1,268.70","1,275.20","1,266.60",0.04K,0.41%
178,2010-09-17,"1,275.60","1,275.80","1,279.60","1,273.80",0.05K,0.29%
179,2010-09-20,"1,279.00","1,281.70","1,282.00","1,279.30",0.03K,0.27%
180,2010-09-21,"1,272.40","1,278.20","1,289.80","1,271.80",0.06K,-0.52%
181,2010-09-22,"1,290.20","1,293.50","1,294.50","1,288.50",0.02K,1.40%
182,2010-09-23,"1,294.30","1,289.40","1,294.20","1,289.40",0.05K,0.32%
183,2010-09-24,"1,296.00","1,296.80","1,297.40","1,294.20",0.04K,0.13%
184,2010-09-27,"1,296.70","1,297.80","1,297.90","1,296.30",0.07K,0.05%
