Date,Price,Open,High,Low,Vol.,Change %
158,2010-09-10,"22,497.00","22,497.00","22,497.00","22,497.00",-,-1.09%
159,2010-09-13,"22,844.00","22,844.00","22,844.00","22,844.00",-,1.54%
160,2010-09-16,"23,279.00","23,279.00","23,279.00","23,279.00",-,1.90%
161,2010-09-17,"23,235.00","23,235.00","23,235.00","23,235.00",-,-0.19%
162,2010-09-20,"23,102.00","23,102.00","23,102.00","23,102.00",-,-0.57%
163,2010-09-21,"22,369.00","22,369.00","22,369.00","22,369.00",-,-3.17%
164,2010-09-22,"22,587.00","22,587.00","22,587.00","22,587.00",-,0.97%
165,2010-09-23,"22,783.00","22,783.00","22,783.00","22,783.00",-,0.87%
166,2010-09-24,"22,942.00","22,942.00","22,942.00","22,942.00",-,0.70%
167,2010-09-27,"23,132.00","23,132.00","23,132.00","23,132.00",-,0.83%
168,2010-09-28,"23,212.00","23,212.00","23,212.00","23,212.00",-,0.35%
169,2010-09-29,"23,378.00","23,378.00","23,378.00","23,378.00",-,0.72%
170,2010-09-30,"23,420.00","23,420.00","23,420.00","23,420.00",-,0.18%
171,2010-10-01,"23,864.00","23,864.00","23,864.00","23,864.00",-,1.90%
172,2010-10-04,"24,132.00","24,132.00","24,132.00","24,132.00",-,1.12%
173,2010-10-05,"24,716.00","24,716.00","24,716.00","24,716.00",-,2.42%
174,2010-10-06,"24,788.00","24,788.00","24,788.00","24,788.00",-,0.29%
175,2010-10-07,"23,871.00","23,871.00","23,871.00","23,871.00",-,-3.70%
176,2010-10-08,"24,368.00","24,368.00","24,368.00","24,368.00",-,2.08%
177,2010-10-11,"24,293.00","24,293.00","24,293.00","24,293.00",-,-0.31%
178,2010-10-12,"24,016.00","24,016.00","24,016.00","24,016.00",-,-1.14%
179,2010-10-13,"24,361.00","24,361.00","24,361.00","24,361.00",-,1.44%
180,2010-10-14,"24,262.00","24,262.00","24,262.00","24,262.00",-,-0.41%
181,2010-10-15,"23,987.00","23,987.00","23,987.00","23,987.00",-,-1.13%
182,2010-10-18,"23,751.00","23,751.00","23,751.00","23,751.00",-,-0.98%
183,2010-10-21,"23,501.00","23,501.00","23,501.00","23,501.00",-,-1.05%
184,2010-10-22,"23,176.00","23,176.00","23,176.00","23,176.00",-,-1.38%
185,2010-10-25,"23,521.00","23,521.00","23,521.00","23,521.00",-,1.49%
186,2010-10-26,"23,245.00","23,245.00","23,245.00","23,245.00",-,-1.17%
187,2010-10-27,"22,750.00","22,750.00","22,750.00","22,750.00",-,-2.13%
188,2010-10-28,"23,044.00","23,044.00","23,044.00","23,044.00",-,1.29%
189,2010-10-29,"22,933.00","22,933.00","22,933.00","22,933.00",-,-0.48%
190,2010-11-01,"23,188.00","23,188.00","23,188.00","23,188.00",-,1.11%
191,2010-11-02,"23,418.00","23,418.00","23,418.00","23,418.00",-,0.99%
192,2010-11-03,"23,490.00","23,490.00","23,490.00","23,490.00",-,0.31%
193,2010-11-04,"24,441.00","24,441.00","24,441.00","24,441.00",-,4.05%
194,2010-11-05,"24,395.00","24,395.00","24,395.00","24,395.00",-,-0.19%
195,2010-11-08,"24,061.00","24,061.00","24,061.00","24,061.00",-,-1.37%
196,2010-11-09,"24,555.00","24,555.00","24,555.00","24,555.00",-,2.05%
197,2010-11-10,"24,088.00","24,088.00","24,088.00","24,088.00",-,-1.90%
198,2010-11-11,"23,933.00","23,933.00","23,933.00","23,933.00",-,-0.64%
199,2010-11-12,"22,615.00","22,615.00","22,615.00","22,615.00",-,-5.51%
200,2010-11-15,"22,283.00","22,283.00","22,283.00","22,283.00",-,-1.47%
201,2010-11-18,"21,807.00","21,807.00","21,807.00","21,807.00",-,-2.14%
202,2010-11-19,"21,807.00","21,807.00","21,807.00","21,807.00",-,0.00%
203,2010-11-22,"21,556.00","21,556.00","21,556.00","21,556.00",-,-1.15%
204,2010-11-23,"21,561.00","21,561.00","21,561.00","21,561.00",-,0.02%
205,2010-11-24,"22,460.00","22,460.00","22,460.00","22,460.00",-,4.17%
206,2010-11-25,"22,789.00","22,789.00","22,789.00","22,789.00",-,1.46%
207,2010-11-26,"22,513.00","22,513.00","22,513.00","22,513.00",-,-1.21%
208,2010-11-29,"22,383.00","22,383.00","22,383.00","22,383.00",-,-0.58%
209,2010-11-30,"23,011.00","23,011.00","23,011.00","23,011.00",-,2.81%
210,2010-12-01,"23,519.00","23,519.00","23,519.00","23,519.00",-,2.21%
211,2010-12-02,"23,637.00","23,637.00","23,637.00","23,637.00",-,0.50%
212,2010-12-03,"23,484.00","23,484.00","23,484.00","23,484.00",-,-0.65%
213,2010-12-06,"23,579.00","23,579.00","23,579.00","23,579.00",-,0.40%
214,2010-12-07,"24,063.00","24,063.00","24,063.00","24,063.00",-,2.05%
215,2010-12-08,"23,953.00","23,953.00","23,953.00","23,953.00",-,-0.46%
216,2010-12-09,"23,549.00","23,549.00","23,549.00","23,549.00",-,-1.69%
217,2010-12-10,"23,919.00","23,919.00","23,919.00","23,919.00",-,1.57%
218,2010-12-13,"24,470.00","24,470.00","24,470.00","24,470.00",-,2.30%
219,2010-12-16,"24,673.00","24,673.00","24,673.00","24,673.00",-,0.83%
220,2010-12-17,"24,973.00","24,973.00","24,973.00","24,973.00",-,1.22%
221,2010-12-20,"24,520.00","24,520.00","24,520.00","24,520.00",-,-1.81%
222,2010-12-21,"24,593.00","24,593.00","24,593.00","24,593.00",-,0.30%
